feature,importance
is_high_error,0.10379243383449743
host_error_rate,0.08599240525213996
dst_host_serror_rate,0.07334896247879509
total_error_rate,0.07057293295671112
same_srv_rate,0.06608545227017891
protocol_type,0.0658227632778815
serror_rate,0.05175858022366791
srv_serror_rate,0.04484554035223316
dst_host_srv_serror_rate,0.043576443331762894
is_high_volume,0.03795347273538202
dst_host_srv_count,0.036749244627098776
count,0.027757661931106264
diff_srv_rate,0.02744865977291195
dst_host_same_srv_rate,0.024730079529115354
service,0.021712504823272027
srv_diff_host_rate,0.019491860261236418
dst_host_diff_srv_rate,0.018790401454392095
host_connection_ratio,0.01778042318914512
connection_density,0.01681961480096813
dst_host_count,0.016209058035247373
srv_count,0.01570789457822555
host_diversity,0.013419030428073263
byte_ratio,0.01329780574679628
service_diversity,0.012062473243809699
host_service_concentration,0.011648719101119911
flag,0.01160068430617624
src_bytes,0.010386550093379505
srv_rerror_rate,0.008208546513708557
bytes_per_second,0.007886293368147878
rerror_rate,0.006844754899418164
is_short_connection,0.006074999804498452
total_bytes,0.005707897548742849
dst_bytes,0.0038919806110824877
duration,0.001064225821093744
error_asymmetry,0.0009596487979839258
